mapel,topik,para_index,score,start_line,end_line,preview
agama_hindu,umum,53,2,318,322,"[Materi #52] Topik (otomatis): veda, saja, kitab, suci Inti konsep: Dana Penjelasan singkat: Pelajari definisi/konsep ya"
agama_hindu,umum,150,2,919,923,"[Materi #149] Topik (otomatis): secara, umum, dapat, kita Inti konsep: Kesejahteraan dan kebahagiaan Penjelasan singkat:"
agama_islam,umum,373,2,2257,2261,"[Materi #359] Topik (otomatis): waktu, mengeluarkan, zakat, fitrah Inti konsep: Mulai terbenam matahari di akhir bulan R"
agama_islam,umum,409,2,2454,2462,"[Materi #386] Topik (otomatis): menemukan, jalan, pernyataan, uang Inti konsep: (1) Penjelasan singkat: Pelajari definis"
biologi,umum,29,1,171,175,"[Materi #29] Topik (otomatis): penyebab, biji, buah, dibantu Inti konsep: biji/buah memiliki daging buah yang tebal Penj"
biologi,umum,145,1,871,875,"[Materi #142] Topik (otomatis): hewan, umumnya, mengapung, laut Inti konsep: Coelenterata Penjelasan singkat: Pelajari d"
ekonomi,umum,115,2,613,617,"[Materi #81] Topik (otomatis): bank, menggunakan, umum, konvensional Inti konsep: Bagi hasil Penjelasan singkat: Pelajar"
ekonomi,umum,118,2,631,635,"[Materi #84] Topik (otomatis): bank, memilih, aktivitas, menerima Inti konsep: Umum konfensional Penjelasan singkat: Pel"
fisika,umum,70,2,422,426,"[Materi #70] Topik (otomatis): termometer, umum, digunakan, zat Inti konsep: Raksa atau alkohol Penjelasan singkat: Pela"
fisika,umum,261,2,1542,1546,"[Materi #239] Topik (otomatis): pernyataan, menggambarkan, menjelaskan, pola Inti konsep: hukum Penjelasan singkat: Pela"
geografi,umum,474,2,2925,2930,"[Materi #435] Topik (otomatis): pembangunan, wilayah, kawasan, permukiman Inti konsep: Pendekatan kompleks wilayah Penje"
geografi,umum,284,1,1698,1698,Cebakan batu bara di Indonesia pada umumnya dijumpai di wilayah endapan batuan vulkanik zaman pratersier.
ipa,umum,23,2,125,129,"[Materi #19] Topik (otomatis): tempat-tempat, perlindungan, alam, berikut Inti konsep: cagar alam Penjelasan singkat: Pe"
ipa,umum,567,2,3287,3291,"[Materi #523] Topik (otomatis): termometer, umum, digunakan, zat Inti konsep: Raksa atau alkohol Penjelasan singkat: Pel"
ips,umum,28,2,165,169,"[Materi #28] Topik (otomatis): rumah, ratna, berada, timur Inti konsep: Masjid Penjelasan singkat: Pelajari definisi/kon"
ips,umum,29,2,171,175,"[Materi #29] Topik (otomatis): tempat, tidak, termasuk, umum Inti konsep: Rumah Penjelasan singkat: Pelajari definisi/ko"
kesenian,umum,160,2,971,975,"[Materi #159] Topik (otomatis): reklame, berupa, selembaran, kertas Inti konsep: Poster Penjelasan singkat: Pelajari def"
kesenian,umum,165,2,1001,1011,"[Materi #164] Topik (otomatis): mengutamakan, unsur, kata-kata, gambar Inti konsep: 1, 4, dan 5 Penjelasan singkat: Pela"
kimia,umum,517,2,3199,3203,"[Materi #409] Topik (otomatis): ikatan, mana, pasangan, elektron Inti konsep: Obligasi kovalen kutub Penjelasan singkat:"
kimia,umum,607,2,3739,3743,"[Materi #496] Topik (otomatis): umum, senyawa, alkana Inti konsep: CnH2n+2 Penjelasan singkat: Pelajari definisi/konsep "
ppkn,umum,182,2,1090,1094,"[Materi #174] Topik (otomatis): bangsa, indonesia, negara, melindungi Inti konsep: IV Penjelasan singkat: Pelajari defin"
ppkn,umum,249,2,1516,1520,"[Materi #238] Topik (otomatis): pemerintahan, kepentingan, mengutamakan, umum Inti konsep: komunis Penjelasan singkat: P"
sejarah,umum,225,2,1352,1356,"[Materi #223] Topik (otomatis): tanggal, september, dilaksanakan, pemilihan Inti konsep: anggota DPR Penjelasan singkat:"
sejarah,umum,241,2,1448,1452,"[Materi #239] Topik (otomatis): arti, penting, sidang, umum Inti konsep: tuntutan Tritura berhasil terjawab Penjelasan s"
sosiologi,umum,118,2,678,682,"[Materi #100] Topik (otomatis): secara, umum, metode, digunakan Inti konsep: Kualitatif dan kuantitatif Penjelasan singk"
sosiologi,umum,146,2,846,850,"[Materi #128] Topik (otomatis): pemilihan, lurah, desa, diadakan Inti konsep: Status sosial dengan konflik sosial Penjel"
