idx,mapel,id,topik,tingkat,teks,A,B,C,D,kunci,bobot,sumber
1,agama_hindu,,umum,,"Kriyamana Karma Phala adalah hasil perbuatan yang tidak sempat dinikmati pada waktu sekarang, namun dinikmati pada waktu kehidupan yang ...",Telah lampau,Setelah menginjak masa tua,Akan datang,Belum dilahirkan,C,1,
2,agama_hindu,,umum,,Perwujudan Wisnu menjelma menjadi babi hutan yang memiliki dua taring pan jang  men cuat  den gan  tuju an menopang bumi yang dijatuhkan oleh Raja Raksasa Hiranyaksa adalah ...,Waraha Avatara,Matsya Avatara,Kurma Avatara,Wamana Avatara,A,1,
3,agama_hindu,,umum,,Berikut yang bukan bagian dari Asta Bratha adalah ...,Agni Bratha,Yoga Bratha,Indra Bratha,,B,1,
4,agama_hindu,,umum,,"Pada jaman Satya Yuga Para Deva dan raksasa bersidang dipuncak gunung Mahameru untuk mencari cara mendapat- kan air suci yang dapat membuat hidup menjadi abadi.
Nama dari air suci tersebut adalah ...",Bhuana Amerta,Tirtha Amerta,Loka Amerta,Lingga Amerta,B,1,
5,agama_hindu,,umum,,“Pada jaman dahulu kala Ida Sang Hyang Widhi Waça menciptakan manusia denganyajna dan bersabda; dengan yajna engkau berkembang an akan menjai khamadhuk darikeinginan-Mu”. Petikan makna sloka ini dijelaskan dalam kitab suci ...,"Bhagawadgita, VII.16","Atharwa Weda, III.1.1","Manawa Dharmasastra, VI.35","Reg Weda, X.71.11",E,1,
6,agama_hindu,,umum,,Indria yang terdapat pada mata disebut dengan ...,Jihwendria,Panindria,Padendria,Caksuwindria,D,1,
7,agama_hindu,,umum,,"Lapisan tubuh kausal yang terbentuk dari lapisan mental/pikiran yang terdapat dalam tubuh astral bekerja dengan bantuan lima organ pengetahuan dan beberapa unsur dalam, yaitu pikiran dan pikiran bawah sadar yang berfungsi untuk berpikir menyangsikan marah, nafsu, gembira, depresi dapat dibersihkan dengan praktik Yama, Nyama dan pelayanan terhadap sesama adalah ...",Annamaya kosa,Pranamaya kosa,Manomaya kosa,Vijnanamaya kosa,C,1,
8,agama_hindu,,umum,,"Veda sebagai kitab suci agama Hindu, dipergunakan untuk menuntun umat manusia dalam usaha mencapai ...",Kekayaan,Kesaktian,Kemakmuran,Kesucian,D,1,
9,agama_hindu,,umum,,"Di dalam kepercayaan umat Hindu kematian bukanlah akhir dari siklus kehidupan, setiap manusia akan meng- alami lahir, hidup dan mati. Maka terjadi kelahiran kembali yang dinamakan ...",Reinkarnasi,Penitisan,Menjilma,Beralih rupa,A,1,
10,agama_hindu,,umum,,"Filsafat Ortodok adalah filsafat yang mengakui kewenangan weda, yang termasuk kedalam ortodok dibawah ini adalah ...","Carwaka, Yoga, Vaisesika","Nyaya, Vedanta, Utara Mimamsa","Jaina, Mimamsa, Vedanta","Samkhya, Vaisesika, Budha",B,1,
11,agama_hindu,,umum,,Yang dijadikan landasan moral oleh umat Hindu melaksanakan yajna tersebut adalah ...,Memohon kerahayuan,Keikhlasan,Memohon anugrah,Memohon kewibawaan,B,1,
12,agama_hindu,,umum,,"Manusia adalah makhluk yang paling sempurna ciptaan Hyang Widhi karna memiliki bayu, sabda, dan idep. Idep artinya ...",Gerak,Suara,Pikiran,Alusinasi,C,1,
13,agama_hindu,,umum,,Rama adalah putra dari Raja Ayodya Prabu Dasarata dengan istri pertama yaitu Dewi Kosalya. Rama merupakan wujud Avatara Sang Hyang Widhi untuk menumpas rasa raksasa yang angkara murka yang bernama ...,Duryudana,Hiranyaksa,Rahwana,Hiraya Kasipu,C,1,
14,agama_hindu,,umum,,Indria yang terdapat pada kulit disebut dengan ...,Tangan,Kulit,Kaki,Lidah,B,1,
15,agama_hindu,,umum,,"Unsur panca maha bhuta yang membentuk tulang, otot, adalah unsur ...",Apah,Pertiwi,Teja,Bayu,B,1,
16,agama_hindu,,umum,,"Made Widi diajak orang tuanya pergi mengunjungi pamannya yang merupakan seorang pemangku. Sebagai umat Hindu yang menghargai orang suci, sikap Made Widi saat berkunjung ke rumah pemangku sebaiknya menghindari perilaku ...",Menyapa dengan kata-kata yang baik dan sopan,Selalu mengucapkan salam Panganjali saat bertamu ke rumah orang suci,Menegur orang suci dengan kata-kata yang kasar,Memakai pakaian yang rapi dan bersih,C,1,
17,agama_hindu,,umum,,"Di antara semua makhluk, menjelma sebagai manusia sungguh utama. Karena dia mampu melakukan perbuatan baik dan buruk serta melebur perbuatan buruk dalam perbuatan baik.
Demikian keuntungan menjelma menjadi manusia. Merupakan sloka dari ...",Sarasamuscaya sloka 2,Sarasamuscaya sloka 4,Bhagawad Gita bab II sloka 2,Bhagawad Gita bab II sloka 4,A,1,
18,agama_hindu,,umum,,"Munculnya yoga diprakarsai oleh Rsi Patanjali yang ajarannya diikuti banyak kalangan umat Hindu, yng mana yoga menurut beliau diartikan [i]citta vrtti niroda[/i] yang bermakna ...",Mengarahkan gerak pikiran,Menghentikan gerak pikiran,Mengaktifkan gerak pikiran,Mengefektifkan fungsi pikiran,B,1,
19,agama_hindu,,umum,,Sikap sempurna dalam persembahyangan disebut ...,Asana,Pranayama,Karasodana,,A,1,
20,agama_hindu,,umum,,Setiap perbuatan yang dilakukan oleh seseorang dalam hidup ini akan melekat pada badan halus atau suksma sarira. Bekas perbuatan masa lampau disebut...,Hukum Karma Phala,Sancita Karma Phala,Subha Karma,Karma Wasana,D,1,
21,agama_islam,,umum,,"Pak Abdul mengerjakan sawah Pak Risyad dengan perjanjian bagi hasil 50% 50%. Pak Abdul sudah berusaha semaksimal mungkin untuk mengerjakan sawah tersebut, tetapi ternyata sawah tersebut diserang hama wereng sehingga sama sekali tidak panen. Maka kerugian tersebut ditanggung oleh ...",Pemerintah,Pak Abdul,Pak Risyad,Pak Abdul dan Pak Risyad,D,1,
22,agama_islam,,umum,,Orang yang akan mau masuk islam harus membaca ...,Surat Al Fatihah,Syahadatain,Surat An Nash,,B,1,
23,agama_islam,,umum,,"Perhatikan macam-macam najis di bawah ini
1. Kotoran hewan atau manusia
2. Air kencing bayi yang baru berusia 2 tahun dan belum makan serta minum selain ASI (air  susu ibu)
3. Darah dan bangkai hewan
4. Air liur babi dan anjing

Dari daftar di atas, yang termasuk najis mukhofafah adalah nomor ...",3,4,1,2,D,1,
24,agama_islam,,umum,,"Khadijah seorang pelajar yang sangat cerdas dan banyak mempunyai ketrampilan diantara teman-temannya. Dia pandai membaca Al-Qur’an, pidato, menyanyi, bahkan ia pandai bermain biola. Suatu hari Khadijah dimintai tolong teman sekelasnya untuk melatih bermain biola.
Sikap yang seharusnya Khadijah lakukan adalah ...",Beralasan tidak ada waktu untuk mengajarinya,Menerima untuk mengajarinya dengan syarat harus ada imbalan,"Menolak, dengan alasan kalau temannya bisa nanti akan menyaingi dirinya","Mengajari temannya dengan ikhlas, karena akan mendapatkan pahala dari Allah SWT",D,1,
